First Name,Last Name,DOB,DOD
Kevin,Cannon,,
Carolyn,Nowak,,
Chris,Gooch,,
Rob,Harrell,,
Dan,James,,
Kathryn,Immonen,,
Nicolas,Mahler,,
Chris,Eliopoulos,,
Mitsuhiro,Asakawa,,
Alan,Moore,,
Jeremy,Tinder,,
Aaron,Renier,,
Benjamin,Reiss,,
Sashko,Danylenko,,
Jeffrey,Brown,,
John,Lewis,,
Shannon,Wheeler,,
Masahiko,Matsumoto,,
Eddie,Campbell,,
Kevin,O'Neill,,
Troy,Little,,
Jim,McCann,,
Brennan,Lee,,
Craig,Thompson,,
Dino,Pai,,
David,Gaffney,,
Alex,Robinson,,
Ray,Friesen,,
David,Yurkovich,,
Brett,Weldele,,
Sam,Henderson,,
Brian,Biggs,,
Ulf,Keyenburg,,
Mawil,Witzel,,
Renee,French,,
Kevin,Eastman,,
Zander,Cannon,,
Allison,Conway,,
Lauren,Purje,,
Chris,Sheridan,,
Robert,Venditti,,
Rich,Koslowski,,
Ludovic,Debeurme,,
Sophie,Goldstein,,
Julian,Hanshaw,,
Eric,Skillman,,
Liz,Prince,,
Paul,Tobin,,
Ray,Fawkes,,
Tim,Sievert,,
Peter,Hoey,,
Guilherme,Petreca,,
Will,Dinski,,
Pat,Grant,,
Kim,Dwinell,,
James,Kochalka,,
Jeff,Lemire,,
Daren,White,,
Koren,Shadmi,,
"Kuper,",Peter,,
Jess,Smart,,
Diana,Thung,,
JP,Ahonen,,
Anne,Opotowsky,,
Mark,Russell,,
Owen,D.,,
Van,Jensen,,
Tara,O'Connor,,
Dave,Calver,,
Matt,Kindt,,
George,Takei,,
Nate,Powell,,
Kolbeinn,Karlsson,,
Campbell,Whyte,,
Eric,Orchard,,
Scott,Morse,,
Tom,Hart,,
Erin,Nations,,
Christian,Slade,,
Benjamin,Frisch,,
Jennifer,Hayden,,
Jeffery,Brown,,
James,Albon,,
Andy,Hartzell,,
